"MIBiG entry","Compound name","Class","Order","Enzyme","Module","Nonlinearity","Substrate","Product","Product_ID","Quality","DOI","R_group"
"BGC0000001","Abyssomicin C;Atrop-abyssomicin C","PKS (Type I)",1,"abyB1",1,"","Malonyl-CoA","OC(C)=O","1-1","","10.1002/cbic.201100172",""
"BGC0000001","","",2,"abyB1",2,"","1-1;Malonyl-CoA","OC(/C=C/C)=O","1-2","","",""
"BGC0000001","","",3,"abyB1",3,"","1-2;Malonyl-CoA","C/C=C/C=C/C(O)=O","1-3","","",""
"BGC0000001","","",4,"abyB1",4,"","1-3;Malonyl-CoA","C/C=C/C=C/C=C/C(O)=O","1-4","","",""
"BGC0000001","","",5,"abyB2",5,"{'Inactive': ['DH', 'KR']}","1-4;Methylmalonyl-CoA","C/C=C/C=C/C=C/C([C@H](C)C(O)=O)=O","1-5","","",""
"BGC0000001","","",6,"abyB2",6,"","1-5;Methylmalonyl-CoA","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(O)=O)=O","1-6","","",""
"BGC0000001","","",7,"abyB3",7,"","1-6;Malonyl-CoA","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(CC(O)=O)=O)=O","1-7","","",""
"BGC0000001","","",8,"abyA2;abyA3","","","1,3-BPG","OC(C(O)CO)=O","1-8","","",""
"BGC0000001","","",9,"abyA1?","","","1-7;1-8","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(C(C(C(CO)O)=O)C(O)=O)=O)=O","1-9","","",""
"BGC0000001","","",10,"abyA5?","","","1-9","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(C(C(O)C1CO)C(O1)=O)=O)=O","1-10","","",""
"BGC0000001","","",11,"abyA4?","","","1-10","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(C(C(O)C1=C)C(O1)=O)=O)=O","1-11","","",""
"BGC0000001","","",12,"","","","1-11","C[C@H]1C=C[C@H]2/C=C/C([C@@H](C)C[C@@H](C)C(C(C(C3)=O)=C(O)[C@@]23C1)=O)=O","1-12","","",""
"BGC0000001","","",13,"abyE","","","1-12","C[C@H]1[C@H]2[C@H](O2)[C@H]3/C=C/C([C@@H](C)C[C@@H](C)C(C(C(C4)=O)=C(O)[C@@]34C1)=O)=O","1-13","","",""
"BGC0000001","Atrop-abyssomicin C","",14,"?","","","1-13","C[C@H]1[C@@H]2[C@H](O)[C@H]3/C=C/C([C@@H](C)C[C@@H](C)C(C(C(C4)=O)=C(O2)[C@@]34C1)=O)=O","1(1)","","",""
"BGC0000001","Abyssomicin C","",15,"?","","","1(1)","CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O","1(2)","","",""
"BGC0001511","Ansamitocin P-3","PKS (Unknown)",1,"Start","","","Kanosamine","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](N)[C@@H]1O","1511-1","","10.1039/c2np00019a;10.1073/pnas.092697199",""
"BGC0001511","","",2,"AQZ37109.1;AQZ37110.1","","","20-1","O[C@H]1[C@H](N)[C@@H](O)[C@@H](O)O[C@@H]1CO[R]","1511-2","Low","","R=PO4-"
"BGC0001511","","",3,"?","","","20-2","OC1(CO)C(N)C(O)C(CO[R])C1","1511-3","","","R=PO4-"
"BGC0001511","","",4,"?","","","20-3","O[C@]([H])([C@@]([H])(CO[R])O)C=N","1511-4","","","R=PO4-"
"BGC0001511","","",5,"Start","","","PEP","C=C(C(O)=O)O[R]","1511-5","","","R=PO4-"
"BGC0001511","","",6,"?","","","20-4;20-5","O[C@]([H])([C@@]([H])(CO[R])O)[C@@](N)([H])C([H])([H])C(C(O)=O)=O","1511-6","","",""
"BGC0001511","","",7,"?","","","20-6","O=C1C[C@@](O)(C(O)=O)C[C@@H](N)[C@@H]1O","1511-7","","",""
"BGC0001511","","",8,"AQZ37111.1","","","20-7","C/C(C(O)=O)=C\C([C@@H](O)CN)=O","1511-8","","",""
"BGC0001511","","",9,"AQZ37112.1","","","20-8","OC(C1=CC(N)=CC(O)=C1)=O","1511-9","","",""
"BGC0001511","","",10,"AQZ37113.1",0,"","20-9","O=C(O)C1=CC(N)=CC(O)=C1","1511-10","","",""
"BGC0001511","","",11,"AQZ37113.1",1,"","20-10;Methylmalonyl-CoA","OC1=CC(CC(C)C(O)=O)=CC(N)=C1","1511-11","","",""
"BGC0001511","","",12,"AQZ37113.1",2,"","20-11;Malonyl-CoA","OC1=CC(CC(C)/C=C/C(O)=O)=CC(N)=C1","1511-12","","",""
"BGC0001511","","",13,"Start","","","1,3-P2-D-glycolate","[H]C(CO[R])(O)C(O[R])=O","1511-13","","","R=PO4-"
"BGC0001511","","",14,"AQZ37103.1;AQZ37101.1","","","20-13","[H]C(CO)(O)C(O)=O","1511-14","","",""
"BGC0001511","","",15,"AQZ37104.1","","","20-14","[H]C(CO)(OC)C(O)=O","1511-15","","",""
"BGC0001511","","",16,"AQZ37100.1/AQZ37102.1","","","20-15","[H]C(C(O)=O)(OC)C(O)=O","1511-16","","",""
"BGC0001511","","",17,"AQZ37114.1",3,"","20-12;20-16","OC1=CC(C/C(C)=C/C=C/C(OC)C(O)=O)=CC(N)=C1","1511-17","","",""
"BGC0001511","","",18,"AQZ37114.1",4,"","20-17;Malonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)=O)=O)=CC(N)=C1","1511-18","","",""
"BGC0001511","","",19,"AQZ37094.1",5,"","20-18;Methylmalonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)C(C)C(O)=O)=O)=CC(N)=C1","1511-19","","",""
"BGC0001511","","",20,"AQZ37095.1",6,"","20-19;Methylmalonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)C(C)/C=C(C)/C(O)=O)=O)=CC(N)=C1","1511-20","","",""
"BGC0001511","","",21,"AQZ37095.1",7,"","20-20;Malonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)C(C)/C=C(C)/C(O)CC(O)=O)=O)=CC(N)=C1","1511-21","","",""
"BGC0001511","","",22,"AQZ37096.1","","","20-21","C/C(CC1=CC(NC(C[C@H](O)/C(C)=C/[C@@H]([C@H](C2)O)C)=O)=CC(O)=C1)=C\C=C\C(OC)C2=O","1511-22","","",""
"BGC0001511","","",23,"AQZ37099.1","","","20-22","C/C(CC1=CC(NC(C[C@H](O)/C(C)=C/[C@@H]([C@H](C2)O)C)=O)=C(Cl)C(O)=C1)=C\C=C\C(OC)C2=O","1511-23","","",""
"BGC0001511","","",24,"AQZ37092.1","","","20-23","C/C(CC1=CC(NC(C[C@H](O)/C(C)=C/[C@@H]([C@H](C2)O)C)=O)=C(Cl)C(OC)=C1)=C\C=C\C(OC)C2=O","1511-24","","",""
"BGC0001511","","",25,"AQZ37108.1","","","20-24","C/C(CC1=CC(N2)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)/C=C(C)/[C@@H](O)CC2=O","1511-25","","",""
"BGC0001511","","",26,"AQZ37106.1","","","20-25","C/C(CC1=CC(N2)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)/C=C(C)/[C@@H](OC(C(C)C)=O)CC2=O","1511-26","","",""
"BGC0001511","","",27,"AQZ37098.1","","","20-26","C/C(CC1=CC(N2)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)[C@@]4([H])O[C@@](C)4[C@@H](OC(C(C)C)=O)CC2=O","1511-27","","",""
"BGC0001511","","",28,"AQZ37097.1","","","20-27","C/C(CC1=CC(N2C)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)[C@@]4([H])O[C@@](C)4[C@@H](OC(C(C)C)=O)CC2=O","1511","","",""
"BGC0000020","Maytansine;Ansamitocin P-3","PKS (Unknown)",1,"Start","","","Kanosamine","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](N)[C@@H]1O","20-1","","10.1039/c2np00019a;10.1073/pnas.092697199",""
"BGC0000020","","",2,"asm22","","","20-1","O[C@H]1[C@H](N)[C@@H](O)[C@@H](O)O[C@@H]1CO[R]","20-2","","","R=PO4-"
"BGC0000020","","",3,"?","","","20-2","OC1(CO)C(N)C(O)C(CO[R])C1","20-3","","","R=PO4-"
"BGC0000020","","",4,"?","","","20-3","O[C@]([H])([C@@]([H])(CO[R])O)C=N","20-4","","","R=PO4-"
"BGC0000020","","",5,"Start","","","PEP","C=C(C(O)=O)O[R]","20-5","","","R=PO4-"
"BGC0000020","","",6,"?","","","20-4;20-5","O[C@]([H])([C@@]([H])(CO[R])O)[C@@](N)([H])C([H])([H])C(C(O)=O)=O","20-6","","",""
"BGC0000020","","",7,"?","","","20-6","O=C1C[C@@](O)(C(O)=O)C[C@@H](N)[C@@H]1O","20-7","","",""
"BGC0000020","","",8,"asm23","","","20-7","C/C(C(O)=O)=C\C([C@@H](O)CN)=O","20-8","","",""
"BGC0000020","","",9,"asm24","","","20-8","OC(C1=CC(N)=CC(O)=C1)=O","20-9","","",""
"BGC0000020","","",10,"asmA",0,"","20-9","O=C(O)C1=CC(N)=CC(O)=C1","20-10","","",""
"BGC0000020","","",11,"asmA",1,"","20-10;Methylmalonyl-CoA","OC1=CC(CC(C)C(O)=O)=CC(N)=C1","20-11","","",""
"BGC0000020","","",12,"asmA",2,"","20-11;Malonyl-CoA","OC1=CC(CC(C)/C=C/C(O)=O)=CC(N)=C1","20-12","","",""
"BGC0000020","","",13,"Start","","","1,3-P2-D-glycolate","[H]C(CO[R])(O)C(O[R])=O","20-13","","","R=PO4-"
"BGC0000020","","",14,"asm16;asm14","","","20-13","[H]C(CO)(O)C(O)=O","20-14","","",""
"BGC0000020","","",15,"asm17","","","20-14","[H]C(CO)(OC)C(O)=O","20-15","","",""
"BGC0000020","","",16,"asm13/asm15","","","20-15","[H]C(C(O)=O)(OC)C(O)=O","20-16","","",""
"BGC0000020","","",17,"asmB",3,"","20-12;20-16","OC1=CC(C/C(C)=C/C=C/C(OC)C(O)=O)=CC(N)=C1","20-17","","",""
"BGC0000020","","",18,"asmB",4,"","20-17;Malonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)=O)=O)=CC(N)=C1","20-18","","",""
"BGC0000020","","",19,"asmC",5,"","20-18;Methylmalonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)C(C)C(O)=O)=O)=CC(N)=C1","20-19","","",""
"BGC0000020","","",20,"asmD",6,"","20-19;Methylmalonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)C(C)/C=C(C)/C(O)=O)=O)=CC(N)=C1","20-20","","",""
"BGC0000020","","",21,"asmD",7,"","20-20;Malonyl-CoA","OC1=CC(C/C(C)=C/C=C/C(OC)C(CC(O)C(C)/C=C(C)/C(O)CC(O)=O)=O)=CC(N)=C1","20-21","","",""
"BGC0000020","","",22,"asm9","","","20-21","C/C(CC1=CC(NC(C[C@H](O)/C(C)=C/[C@@H]([C@H](C2)O)C)=O)=CC(O)=C1)=C\C=C\C(OC)C2=O","20-22","","",""
"BGC0000020","","",23,"asm12","","","20-22","C/C(CC1=CC(NC(C[C@H](O)/C(C)=C/[C@@H]([C@H](C2)O)C)=O)=C(Cl)C(O)=C1)=C\C=C\C(OC)C2=O","20-23","","",""
"BGC0000020","","",24,"asm7","","","20-23","C/C(CC1=CC(NC(C[C@H](O)/C(C)=C/[C@@H]([C@H](C2)O)C)=O)=C(Cl)C(OC)=C1)=C\C=C\C(OC)C2=O","20-24","","",""
"BGC0000020","","",25,"asm21","","","20-24","C/C(CC1=CC(N2)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)/C=C(C)/[C@@H](O)CC2=O","20-25","","",""
"BGC0000020","","",26,"asm19","","","20-25","C/C(CC1=CC(N2)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)/C=C(C)/[C@@H](OC(C(C)C)=O)CC2=O","20-26","","",""
"BGC0000020","","",27,"asm11","","","20-26","C/C(CC1=CC(N2)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)[C@@]4([H])O[C@@](C)4[C@@H](OC(C(C)C)=O)CC2=O","20-27","","",""
"BGC0000020","Ansamitocin P-3","",28,"asm10","","","20-27","C/C(CC1=CC(N2C)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)[C@@]4([H])O[C@@](C)4[C@@H](OC(C(C)C)=O)CC2=O","20(1)","","",""
"BGC0000020","Maytansine","",29,"?","","","20(1)","C/C(CC1=CC(N2C)=C(Cl)C(OC)=C1)=C\C=C\C(OC)[C@@](N3)(O)C[C@H](OC3=O)[C@@H](C)[C@@]4([H])O[C@@](C)4[C@@H](OC([C@H](C)N(C(C)=O)C)=O)CC2=O","20(2)","","",""
"BGC0000021","Apoptolidin","PKS (Unknown)",1,"Start","","","1,3-BPG","OP([O-])(OC([C@H](O)COP(O)([O-])=O)=O)=O","21-1","","10.1016/j.tet.2011.05.106",""
"BGC0000021","","",2,"apoE;apoJ","","","21-1","O=C(O)[C@H](O)CO","21-2","","",""
"BGC0000021","","",3,"apoK","","","21-2","O=C(O)[C@H](O)C([H])=O","21-3","","",""
"BGC0000021","","",4,"apoI","","","21-3","O=C(O)[C@H](O)C([O-])=O","21-4","","",""
"BGC0000021","","",5,"apoM2","","","21-4","O=C(O)[C@H](OC)C([O-])=O","21-5","","",""
"BGC0000021","","",6,"apoS1",0,"{'Inactive': ['KR']}","21-5","O=C(O)COC","21-6","","",""
"BGC0000021","","",7,"apoS1",1,"{'Inactive': ['DH']}","21-6;Malonyl-CoA","COC[C@H](O)CC(O)=O","21-7","","",""
"BGC0000021","","",8,"apoS1",2,"","21-7;Methylmalonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)C(O)=O)C[O]","21-8","","",""
"BGC0000021","","",9,"apoS1",3,"","21-8;Methylmalonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(O)=O)C)COC","21-9","","",""
"BGC0000021","","",10,"apoS2",4,"{'Inactive': ['DH', 'KR']}","21-9;Malonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(CC(O)=O)=O)C)COC","21-10","","",""
"BGC0000021","","",11,"apoS3;apoS4",5,"","21-10;Malonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)CC(O)=O)=O)C)COC","21-11","","",""
"BGC0000021","","",12,"apoS5",6,"","21-11;Malonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CC(O)=O)=O)C)C[O]","21-12","","",""
"BGC0000021","","",13,"apoS5",7,"","21-12;Malonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CCCC(O)=O)=O)C)COC","21-13","","",""
"BGC0000021","","",14,"apoS5",8,"","21-13;Methylmalonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CCC/C=C(C)/C(O)=O)=O)C)COC","21-14","","",""
"BGC0000021","","",15,"apoS6",9,"","21-14;Malonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CCC/C=C(C)/C=C/C(O)=O)=O)C)COC","21-15","","",""
"BGC0000021","","",16,"apoS6",10,"","21-15;Methylmalonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CCC/C=C(C)/C=C/[C@@H](O)[C@H](C)C(O)=O)=O)C)COC","21-16","","",""
"BGC0000021","","",17,"apoS7",11,"","21-16;Methylmalonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CCC/C=C(C)/C=C/[C@@H](O)[C@H](C)/C=C(C)/C(O)=O)=O)C)COC","21-17","","",""
"BGC0000021","","",18,"apoS7",12,"","21-17;Methylmalonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CCC/C=C(C)/C=C/[C@@H](O)[C@H](C)/C=C(C)/C=C(C)/C(O)=O)=O)C)COC","21-18","","",""
"BGC0000021","","",19,"apoS8",13,"","21-18;Methylmalonyl-CoA","O[C@H](C[C@@H](O)[C@H](C)[C@H](O)[C@H](C(C[C@@H](O)C[C@H](O)CCC/C=C(C)/C=C/[C@@H](O)[C@H](C)/C=C(C)/C=C(C)/C=C(C)/C(O)=O)=O)C)COC","21-19","","",""
"BGC0000021","","",20,"apoS8","TE","","21-19","O[C@@H]([C@H](C)/C=C(C)/C=C(C)/C=C1\C)/C=C/C(C)=C/CCC[C@@H](O)C[C@@H](C[C@]2(O)O[C@@](C[C@@H](O)COC)([H])[C@H](C)[C@H](O)[C@H]2C)OC1=O","21-20","Low","",""
"BGC0000021","","",21,"Start","","","4-O-L-methyl-L-rhamnose","[R][C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O1","21-21","Low","","R=ONDP"
"BGC0000021","","",22,"?","","","21-20","[R][C@@H](O[C@@H]1C)[C@H](O)[C@@H](O)C1=O","21-22","Low","","R=ONDP"
"BGC0000021","","",23,"(apoH3;apoH4), apoM1","","","21-21","[R][C@@H]1[C@H](O)[C@@H](O)[C@H](OC)[C@@H](C)O1","21-23","Low","","R=ONDP"
"BGC0000021","","",24,"apoH1","","","21-21","[R][C@@H](O[C@@H]1C)CC(C1=O)=O","21-24","Low","","R=ONDP"
"BGC0000021","","",25,"apoH2","","","21-23","[R][C@@H](O[C@@H]1C)C[C@@H](O)C1=O","21-25","Low","","R=ONDP"
"BGC0000021","","",26,"apoH3;apoH4","","","21-24","[R][C@@H]1C[C@@H](O)[C@H](O)[C@@H](C)O1","21-26","Low","","R=ONDP"
"BGC0000021","","",27,"apoM2","","","21-24","[R][C@@H](O[C@@H]1C)C[C@](C)(O)C1=O","21-27","Low","","R=ONDP"
"BGC0000021","","",28,"?","","","21-26","[R][C@@H]1CC(O)(C)C([C@H](C)O1)=O","21-28","Low","","R=ONDP"
"BGC0000021","","",29,"apoH3;apoH4","","","21-27","[R][C@@H]1CC(O)(C)[C@@H](O)[C@H](C)O1","21-29","Low","","R=ONDP"
"BGC0000021","","",30,"apoGT1;apoGT3","","","21-20;21-23","COC[C@H](O)C[C@]1([H])[C@H](C)[C@H](O)[C@@H](C)[C@](O1)(O)C[C@@H](O2)C[C@H](O)CCC/C=C(C)/C=C/[C@@H](O[C@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)/C=C(C)/C=C(C)/C=C(C)/C2=O","21-30","Low","",""
"BGC0000021","","",31,"(apoM1;apoM3;apoM4), (apoGT1;apoGT3), apoP, apoGT2, (apoM1;apoM3;apoM4), ?","","","21-20;21-26;21-29","COC[C@H](O[C@@H]1O[C@@H](C)[C@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@](O)(C)C1)C[C@]3([H])[C@H](C)[C@H](O)[C@@H](C)[C@](O3)(O)C[C@@H](O4)C[C@H](O)CCC/C=C(C)/C=C/[C@@H](O[C@H]5O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]5O)[C@H](C)/C=C(C)/C=C(C)/C=C(C)/C4=O","21","","",""
"BGC0000024","Aureothin","PKS (Type I)",1,"Start","","","Chorismic acid","O=C(O)C1=C[C@@H](OC(C(O)=O)=C)[C@H](O)C=C1","24-1","","10.1002/cbic.200500161",""
"BGC0000024","","",2,"aurE","","","24-1","O=C(O)C1=C[C@@H](OC(C(O)=O)=C)[C@H](N)C=C1","24-2","","",""
"BGC0000024","","",3,"aurG","","","24-2","O=C(O)C1=CC=C(N)C=C1","24-3","","",""
"BGC0000024","","",4,"aurF","","","24-3","O=C(O)C1=CC=C([N+]([O-])=O)C=C1","24-4","","",""
"BGC0000024","","",5,"aurA",1,"{'Iteration': [(['DH', 'KR'], 'Methylmalonyl-CoA'), (['DH', 'KR'], 'Methylmalonyl-CoA')]}","24-4;Methylmalonyl-CoA","CC(/C=C(C(O)=O)\C)=C\C1=CC=C([N+]([O-])=O)C=C1","24-5","","",""
"BGC0000024","","",6,"aurB",2,"","24-5;malonyl-CoA","CC(/C=C(CCC(O)=O)\C)=C\C1=CC=C([N+]([O-])=O)C=C1","24-6","","",""
"BGC0000024","","",7,"aurC",3,"{'Iteration': [([None], 'Methylmalonyl-CoA'), ([None], 'Methylmalonyl-CoA')]}","24-6;Methylmalonyl-CoA","CC(/C=C(CCC(O)C(C(O)C(C(O)=O)C)C)\C)=C\C1=CC=C([N+]([O-])=O)C=C1","24-7","","",""
"BGC0000024","","",8,"aurC",4,"{'ModuleSkip': 'Skip'}","24-7","CC(/C=C(CCC(O)C(C(O)C(C(O)=O)C)C)\C)=C\C1=CC=C([N+]([O-])=O)C=C1","24-8","","",""
"BGC0000024","","",9,"aurC","TE","","24-8","CC(/C=C(CCC(OC(C(C)=C1O)=O)=C1C)\C)=C\C2=CC=C([N+]([O-])=O)C=C2","24-9","","",""
"BGC0000024","","",10,"?","","","24-9","CC(/C=C(CCC(OC(O)=C1C)=C(C1=O)C)\C)=C\C2=CC=C([N+]([O-])=O)C=C2","24-10","","",""
"BGC0000024","","",11,"aurI","","","24-10","CC(/C=C(CCC(OC(OC)=C1C)=C(C1=O)C)\C)=C\C2=CC=C([N+]([O-])=O)C=C2","24-11","","",""
"BGC0000024","","",12,"aurH","","","24-11","CC(/C=C1CO[C@](C(OC(OC)=C2C)=C(C)C2=O)([H])C\1)=C\C3=CC=C([N+]([O-])=O)C=C3","24","","",""
"BGC0000028","Bafilomycin B1","PKS (Type I)",1,"ADC79616.1",0,"","Isobutyric acid","CC(C(O)=O)C","28-1","","10.1002/cbic.201200743",""
"BGC0000028","","",2,"ADC79616.1",1,"","28-1;Methylmalonyl-CoA","CC([C@@H](O)[C@H](C(O)=O)C)","28-2","","",""
"BGC0000028","","",3,"ADC79616.1",2,"","28-2;Malonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC(O)=O)C)C","28-3","","",""
"BGC0000028","","",4,"ADC79616.1",3,"","28-3;Methylmalonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC([C@H](C(O)=O)C)=O)C)C","28-4","","",""
"BGC0000028","","",5,"ADC79617.1",4,"","28-4;Methylmalonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H](C(O)=O)C)C)=O)C)C","28-5","","",""
"BGC0000028","","",6,"ADC79617.1",5,"","28-5;Methoxymalonyl-ACP","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H]([C@@H](O)C(C(O)=O)OC)C)C)=O)C)C","28-6","","",""
"BGC0000028","","",7,"ADC79617.1",6,"","28-6;Malonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H]([C@@H](O)C(/C=C/C(O)=O)OC)C)C)=O)C)C","28-7","","",""
"BGC0000028","","",8,"ADC79618.1",7,"","28-7;Methylmalonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H]([C@@H](O)C(/C=C/C=C(C(O)=O)\C)OC)C)C)=O)C)C","28-8","","",""
"BGC0000028","","",9,"ADC79618.1",8,"","28-8;Methylmalonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H]([C@@H](O)C(/C=C/C=C(C[C@@H](C(O)=O)C)\C)OC)C)C)=O)C)C","28-9","","",""
"BGC0000028","","",10,"ADC79619.1",9,"","28-9;Methylmalonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H]([C@@H](O)C(/C=C/C=C(C[C@@H]([C@H](O)[C@@H](C(O)=O)C)C)\C)OC)C)C)=O)C)C","28-10","","",""
"BGC0000028","","",11,"ADC79619.1",10,"","28-10;Methylmalonyl-CoA","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H]([C@@H](O)C(/C=C/C=C(C[C@@H]([C@H](O)[C@@H](/C=C(C(O)=O)\C)C)C)\C)OC)C)C)=O)C)C","28-11","","",""
"BGC0000028","","",12,"ADC79620.1",11,"","28-11;Methoxymalonyl-ACP","CC([C@@H](O)[C@H]([C@H](O)CC([C@H]([C@H](O)[C@@H]([C@@H](O)C(/C=C/C=C(C[C@@H]([C@H](O)[C@@H](/C=C(/C=C(C(O)=O)\OC)C)C)C)\C)OC)C)C)=O)C)C","28-12","","",""
"BGC0000028","","",13,"ADC79620.1","TE","","28-12","O[C@@]1([C@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(C[C@@H]([C@@H]([C@@H](/C=C(/C=C2\OC)C)C)O)C)\C)OC)OC2=O)C)O)C)O[C@H](C(C)C)[C@@H](C)[C@H](O)C1","28-13","","",""
"BGC0000028","","",14,"Start","","","Fumarate","OC(/C=C/C(O)=O)=O","28-14","","",""
"BGC0000028","","",15,"?","","","28-13;28-14","O=C(O[C@@H]1C[C@@]([C@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(C[C@@H]([C@@H]([C@@H](/C=C(/C=C2\OC)C)C)O)C)\C)OC)OC2=O)C)O)C)(O)O[C@H](C(C)C)[C@H]1C)/C=C/C(O)=O","28-15","","",""
"BGC0000028","","",16,"Start","","","Glycine","NCC(O)=O","28-16","","",""
"BGC0000028","","",17,"Start","","","Succinyl-CoA","[R]CC(CCC(O)=O)=O","28-17","","","R=S-CoA"
"BGC0000028","","",18,"ADC79615.1","","","28-16;28-17","NCC(CCC(O)=O)=O","28-18","","",""
"BGC0000028","","",19,"ADC79613.1","","","28-18","NCC(CCC([R])=O)=O","28-19","","","R=S-CoA"
"BGC0000028","","",20,"ADC79615.1","","","28-19","O=C1CC(O)=CC1N","28-20","","",""
"BGC0000028","","",21,"ADC79614.1","","","28-15;28-20","O=C(O[C@@H]1C[C@@]([C@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(C[C@@H]([C@@H]([C@@H](/C=C(/C=C2\OC)C)C)O)C)\C)OC)OC2=O)C)O)C)(O)O[C@H](C(C)C)[C@H]1C)/C=C/C(NC3=C(O)CCC3=O)=O","28","","",""
"BGC0000029","BE-14106","PKS (Type I)",1,"becA",0,"","Methylmalonyl-CoA","O=C(O)CC","29-1","","10.1016/j.chembiol.2009.09.014",""
"BGC0000029","","",2,"becA",1,"","29-1;Malonyl-CoA","CC/C=C/C(O)=O","29-2","","",""
"BGC0000029","","",3,"becA",2,"","29-2;Malonyl-CoA","CC/C=C/C=C/C(O)=O","29-3","","",""
"BGC0000029","","",4,"Start","","","Glycine","NCC(O)=O","29-4","","",""
"BGC0000029","","",5,"becC;becI;becL;becS",3,"{'Inactive': ['DH']}","29-3;29-4","CCC/C=C/CC(N)CC(O)=O","29-5","","",""
"BGC0000029","","",6,"becQ","","","29-5","CCC/C=C/CC(N)CC(O)=O","29-6","","",""
"BGC0000029","","",7,"becJ","","","29-6","CCC/C=C/CC(N)CC([R])=O","29-7","","","R=S-CoA"
"BGC0000029","","",8,"becK;beckB",0,"","29-7","CCC/C=C/CC(N)CC(O)=O","29-8","","",""
